"Name","State","Notes","User","Tags","Created","Runtime","Sweep","data.sample_rate_hz","data.step","data.train_path","data.window_size","logging.project_name","logging.run_name","model.encoder_filters","model.in_channels","model.kernel_size","training.batch_size","training.epochs","training.learning_rate","training.seed","inference.min_anomaly_ratio","inference.severe_threshold_multiplier","inference.threshold","inference.threshold_quantile","data.test_anomaly_path","data.test_normal_path","training.validation_split","epoch","train_loss","inference/threshold","inference/threshold_quantile","evaluation/separation_score","test_anomaly/anomaly_detected","test_anomaly/anomaly_ratio","test_anomaly/anomaly_window_count","test_anomaly/max_mse","test_anomaly/mean_mse","test_anomaly/window_count","test_normal/anomaly_detected","test_normal/anomaly_ratio","test_normal/anomaly_window_count","test_normal/max_mse","test_normal/mean_mse","test_normal/window_count","train/loss","val/loss","val/reconstruction_max","val/reconstruction_mean"
"run-10-threshold-0999","finished","-","","","2026-05-14T18:44:55.000Z","40","","50","50","../data/raw/train_vibrations_normal.csv","100","train-anomaly-detection","run-10-threshold-0999","[16,32,64]","3","5","256","100","0.001","42","0.02","3","0.005","0.999","../data/raw/test_vibrations_anomaly.csv","../data/raw/test_vibrations_normal.csv","0.2","100","","0.002813807785511014","0.999","2.385494062570597","1","0.03225806451612903","29","0.2545996606349945","0.004966297652572393","899","0","0.0055617352614015575","5","0.0029591508209705353","0.0020818738266825676","899","0.002069591554916567","0.0020766587188443446","0.003141080029308796","0.002076658653095365"
"run-09-threshold-0990","finished","-","","","2026-05-14T18:43:52.000Z","41","","50","50","../data/raw/train_vibrations_normal.csv","100","train-anomaly-detection","run-09-threshold-0990","[16,32,64]","3","5","256","100","0.001","42","0.02","3","0.005","0.99","../data/raw/test_vibrations_anomaly.csv","../data/raw/test_vibrations_normal.csv","0.2","100","","0.002607757081277668","0.99","2.385494062570597","1","0.06229143492769744","56","0.2545996606349945","0.004966297652572393","899","0","0.018909899888765295","17","0.0029591508209705353","0.0020818738266825676","899","0.002069591554916567","0.0020766587188443446","0.003141080029308796","0.002076658653095365"
"run-08-epochs-150","finished","-","","","2026-05-14T18:42:35.000Z","56","","50","50","../data/raw/train_vibrations_normal.csv","100","train-anomaly-detection","run-08-epochs-150","[16,32,64]","3","5","256","150","0.001","42","0.02","3","0.005","0.995","../data/raw/test_vibrations_anomaly.csv","../data/raw/test_vibrations_normal.csv","0.2","150","","0.0025288296095095576","0.995","2.460416943475077","1","0.054505005561735265","49","0.25453507900238037","0.004807321820408106","899","0","0.01557285873192436","14","0.0028666798025369644","0.0019538647029548883","899","0.00194001239983158","0.0019380628793591265","0.002950277179479599","0.0019380628364160657"
"run-07-lr-002","finished","-","","","2026-05-14T18:41:08.000Z","39","","50","50","../data/raw/train_vibrations_normal.csv","100","train-anomaly-detection","run-07-lr-002","[16,32,64]","3","5","256","100","0.002","42","0.02","3","0.005","0.995","../data/raw/test_vibrations_anomaly.csv","../data/raw/test_vibrations_normal.csv","0.2","100","","0.002457862363662571","0.995","2.534612114854178","1","0.047830923248053395","43","0.2581600248813629","0.004817847162485123","899","0","0.010011123470522803","9","0.0028161488007754087","0.00190082227345556","899","0.0019040636278481948","0.0018900253959359184","0.002902360400184989","0.001890025450848043"
"run-06-lr-0005","finished","-","","","2026-05-14T18:39:38.000Z","39","","50","50","../data/raw/train_vibrations_normal.csv","100","train-anomaly-detection","run-06-lr-0005","[16,32,64]","3","5","256","100","0.0005","42","0.02","3","0.005","0.995","../data/raw/test_vibrations_anomaly.csv","../data/raw/test_vibrations_normal.csv","0.2","100","","0.002866550912149251","0.995","2.3604664214946203","1","0.04671857619577308","42","0.27002307772636414","0.005243807565420866","899","0","0.010011123470522803","9","0.003128914861008525","0.002221513306722045","899","0.0022314696727941436","0.0022274618906904815","0.003286736784502864","0.002227461664006114"
"run-05-kernel-7","finished","-","","","2026-05-14T18:30:23.000Z","42","","50","50","../data/raw/train_vibrations_normal.csv","100","train-anomaly-detection","run-05-kernel-7","[16,32,64]","3","7","256","100","0.001","42","0.02","3","0.005","0.995","../data/raw/test_vibrations_anomaly.csv","../data/raw/test_vibrations_normal.csv","0.2","100","","0.00240965628065169","0.995","2.5278281453024967","1","0.027808676307007785","25","0.25558391213417053","0.004650070331990719","899","0","0.0033370411568409346","3","0.0025400356389582157","0.0018395516090095043","899","0.0018529563961136673","0.0018493545668415749","0.0025644584093242884","0.0018493547104299068"
"run-04-kernel-3","finished","-","","","2026-05-14T18:29:11.000Z","37","","50","50","../data/raw/train_vibrations_normal.csv","100","train-anomaly-detection","run-04-kernel-3","[16,32,64]","3","3","256","100","0.001","42","0.02","3","0.005","0.995","../data/raw/test_vibrations_anomaly.csv","../data/raw/test_vibrations_normal.csv","0.2","100","","0.0022602534596808262","0.995","2.528408053797461","1","0.02335928809788654","21","0.2369198054075241","0.004345881752669811","899","0","0.0033370411568409346","3","0.0024231744464486837","0.0017188213532790542","899","0.0016382490569311712","0.001724420373899634","0.0024732458405196667","0.0017244203481823206"
"run-03-large-model","finished","-","","","2026-05-14T18:27:09.000Z","58","","50","50","../data/raw/train_vibrations_normal.csv","100","train-anomaly-detection","run-03-large-model","[32,64,128]","3","5","256","100","0.001","42","0.02","3","0.005","0.995","../data/raw/test_vibrations_anomaly.csv","../data/raw/test_vibrations_normal.csv","0.2","100","","0.002283484195359052","0.995","2.750530889969492","1","0.041156840934371525","37","0.28241297602653503","0.0047989278100430965","899","0","0.012235817575083428","11","0.0026853149756789207","0.001744727836921811","899","0.001696555443211562","0.0017386317532040508","0.0025605217088013887","0.0017386317485943437"
"run-02-small-model","finished","-","","","2026-05-14T18:25:48.000Z","33","","50","50","../data/raw/train_vibrations_normal.csv","100","train-anomaly-detection","run-02-small-model","[8,16,32]","3","5","256","100","0.001","42","0.02","3","0.005","0.995","../data/raw/test_vibrations_anomaly.csv","../data/raw/test_vibrations_normal.csv","0.2","100","","0.0030763049609959137","0.995","2.299841888724153","1","0.04226918798665184","38","0.274087518453598","0.005502014420926571","899","0","0.008898776418242492","8","0.003359677502885461","0.002392344642430544","899","0.002404998941347003","0.0024068274501434224","0.003596639959141612","0.0024068274069577456"
"run-01-baseline","finished","-","","","2026-05-14T18:21:32.000Z","40","","50","50","../data/raw/train_vibrations_normal.csv","100","train-anomaly-detection","run-01-baseline","[16,32,64]","3","5","256","100","0.001","42","0.02","3","0.005","0.995","../data/raw/test_vibrations_anomaly.csv","../data/raw/test_vibrations_normal.csv","0.2","100","","0.00267944714985788","0.995","2.385494062570597","1","0.05116796440489433","46","0.2545996606349945","0.004966297652572393","899","0","0.014460511679644048","13","0.0029591508209705353","0.0020818738266825676","899","0.002069591554916567","0.0020766587188443446","0.003141080029308796","0.002076658653095365"
"cnn-autoencoder-baseline","finished","-","","","2026-05-14T18:14:53.000Z","40","","50","50","../data/raw/train_vibrations_normal.csv","100","train-anomaly-detection","cnn-autoencoder-baseline","[16,32,64]","3","5","256","100","0.001","42","0.02","3","0.005","0.995","../data/raw/test_vibrations_anomaly.csv","../data/raw/test_vibrations_normal.csv","0.2","100","","0.00267944714985788","0.995","2.385494062570597","1","0.05116796440489433","46","0.2545996606349945","0.004966297652572393","899","0","0.014460511679644048","13","0.0029591508209705353","0.0020818738266825676","899","0.002069591554916567","0.0020766587188443446","0.003141080029308796","0.002076658653095365"